# row pwm ai mean
320 155 533 471.257
321 160 499 464.604
322 160 439 464.280
323 160 509 464.775
324 160 489 464.731
325 160 429 464.198
326 160 489 464.664
327 160 462 464.462
328 160 491 464.528
329 160 437 464.380
330 160 504 464.735
331 165 523 457.585
332 165 521 457.396
333 165 484 457.393
334 165 425 457.579
335 165 405 457.815
336 165 432 457.712
337 165 520 457.814
338 165 476 457.284
339 165 463 457.440
340 165 402 457.884
341 170 425 450.205
342 170 517 450.284
343 170 489 450.196
344 170 497 450.324
345 170 396 450.541
346 170 461 450.294
347 170 511 450.673
348 170 458 449.715
349 170 418 450.443
350 170 390 450.302
351 175 407 442.803
352 175 396 442.405
353 175 373 442.511
354 175 504 442.964
355 175 473 442.557
356 175 422 442.096
357 175 394 442.813
358 175 377 442.745
359 175 513 443.271
360 175 456 442.345
361 180 377 434.686
362 180 483 434.840
363 180 426 434.458
364 180 515 434.630
365 180 368 433.982
366 180 496 435.050
367 180 472 434.628
368 180 419 434.288
369 180 388 434.542
370 180 371 434.740
371 185 362 425.828
372 185 482 426.322
373 185 419 425.462
374 185 389 425.907
375 185 404 426.087
376 185 395 426.613
377 185 443 425.822
378 185 475 426.558
379 185 460 425.625
380 185 424 426.260
381 190 361 416.620
382 190 370 417.228
383 190 418 416.818
384 190 467 416.945
385 190 409 416.190
386 190 368 416.921
387 190 353 416.639
388 190 440 417.186
389 190 497 416.454
390 190 403 415.902
391 195 415 407.044
392 195 353 406.913
393 195 444 407.493
394 195 434 407.103
395 195 398 407.144
396 195 489 406.903
397 195 409 407.050
398 195 373 406.854
399 195 344 406.887
400 195 372 407.041
401 200 416 396.449
402 200 416 396.390
403 200 483 396.732
404 200 415 396.271
405 200 369 396.636
406 200 342 396.592
407 200 380 396.800
408 200 447 396.354
409 200 411 395.935
410 200 363 396.685
411 205 394 385.159
412 205 411 385.139
413 205 347 384.791
414 205 322 385.206
415 205 468 385.077
416 205 332 385.122
417 205 411 384.981
418 205 391 385.010
419 205 362 384.984
420 205 337 385.419
421 210 462 372.350
422 210 456 372.667
423 210 393 371.882
424 210 367 372.531
425 210 333 372.465
426 210 311 373.061
427 210 454 372.912
428 210 396 372.040
429 210 372 372.633
430 210 343 372.691
431 215 333 358.928
432 215 438 359.133
433 215 306 358.391
434 215 348 359.313
435 215 393 358.709
436 215 351 359.225
437 215 333 358.967
438 215 302 359.113
439 215 435 358.860
440 215 404 358.374
441 220 305 343.927
442 220 309 343.547
443 220 297 344.072
444 220 422 343.981
445 220 371 343.188
446 220 327 343.559
447 220 305 343.912
448 220 309 343.844
449 220 315 343.831
450 220 342 343.497
451 225 282 326.472
452 225 291 326.236
453 225 327 326.302
454 225 376 326.231
455 225 330 326.216
456 225 306 326.042
457 225 281 326.585
458 225 276 326.788
459 225 361 326.294
460 225 327 326.249
461 230 348 306.251
462 230 318 306.228
463 230 304 306.317
464 230 288 306.393
465 230 275 306.345
466 230 259 306.348
467 230 355 306.135
468 230 397 306.184
469 230 320 306.136
470 230 292 306.553
471 235 284 282.572
472 235 285 282.351
473 235 267 282.568
474 235 249 283.063
475 235 304 282.889
476 235 309 282.875
477 235 292 282.438
478 235 262 282.572
479 235 252 283.051
480 235 240 282.822
481 240 219 253.517
482 240 220 253.792
483 240 242 253.454
484 240 221 253.471
485 240 308 253.840
486 240 262 253.329
487 240 246 253.688
488 240 261 253.300
489 240 248 253.473
490 240 236 253.636
491 245 209 215.562
492 245 214 215.437
493 245 196 215.458
494 245 186 215.470
495 245 244 215.694
496 245 226 215.269
497 245 185 215.557
498 245 232 215.384
499 245 212 215.302
500 245 204 215.600
501 250 157 159.207
502 250 143 159.173
503 250 189 159.293
504 250 163 159.095
505 250 149 159.081
506 250 158 159.287
507 250 152 159.167
508 250 143 159.174
509 250 199 159.310
510 250 144 159.119
511 255 26 26.392
512 255 26 26.055
513 255 26 26.009
514 255 26 25.979
515 255 26 25.978
516 255 26 25.967
517 255 26 25.937
518 255 26 25.933
519 255 25 25.880
520 255 26 25.872
